"Ciudad Autonoma de Buenos Aires ","    l10n_ar_base_country_state.state_capital_federal",
"Jujuy ","    l10n_ar_base_country_state.state_jujuy",
"La Pampa ","    l10n_ar_base_country_state.state_la_pampa",
"La Rioja ","    l10n_ar_base_country_state.state_la_rioja",
"Mendoza ","    l10n_ar_base_country_state.state_mendoza",
"Misiones ","    l10n_ar_base_country_state.state_misiones",
"Neuquén ","    l10n_ar_base_country_state.state_neuquen",
"Río Negro ","    l10n_ar_base_country_state.state_rio_negro",
"Salta ","    l10n_ar_base_country_state.state_salta",
"San Juan ","    l10n_ar_base_country_state.state_san_juan",
"San Luis ","    l10n_ar_base_country_state.state_san_luis",
"Buenos Aires ","    l10n_ar_base_country_state.state_buenos_aires",
"Santa Cruz ","    l10n_ar_base_country_state.state_santa_cruz",
"Santa Fe ","    l10n_ar_base_country_state.state_santa_fe",
"Santiago del Estero ","    l10n_ar_base_country_state.state_sgo_del_estero",
Tierra del Fuego,l10n_ar_base_country_state.state_tierra_del_fuego,
"Tucumán ","    l10n_ar_base_country_state.state_tucuman",
"Catamarca ","    l10n_ar_base_country_state.state_catamarca",
"Cordoba ","    l10n_ar_base_country_state.state_cordoba",
"Corrientes ","    l10n_ar_base_country_state.state_corrientes",
"Chaco ","    l10n_ar_base_country_state.state_chaco",
"Chubut ","    l10n_ar_base_country_state.state_chubut",
"Entre Ríos ","    l10n_ar_base_country_state.state_entre_rios",
"Formosa ","    l10n_ar_base_country_state.state_formosa",
"Salta ","    l10n_ar_states.A",
"Villa sarmiento ","    __export__.res_country_state_127",
"CABA ","    __export__.res_country_state_117",
"San Luis ","    l10n_ar_states.D",
"Entre Ríos ","    l10n_ar_states.E",
"La Rioja ","    l10n_ar_states.F",
"Santiago del Estero ","    l10n_ar_states.G",
"Chaco ","    l10n_ar_states.H",
"San Juan ","    l10n_ar_states.J",
"Catamarca ","    l10n_ar_states.K",
"La Pampa ","    l10n_ar_states.L",
"Mendoza ","    l10n_ar_states.M",
"Misiones ","    l10n_ar_states.N",
"Formosa ","    l10n_ar_states.P",
"Neuquén ","    l10n_ar_states.Q",
"Río Negro ","    l10n_ar_states.R",
"Rio Negro ","    __export__.res_country_state_86",
"Santa Fe ","    l10n_ar_states.S",
"Santa Fe  ","    __export__.res_country_state_84",
"Tucumán ","    l10n_ar_states.T",
"Chubut ","    l10n_ar_states.U",
"Tierra del Fuego ","    l10n_ar_states.V",
"Corrientes ","    l10n_ar_states.W",
"Córdoba ","    l10n_ar_states.X",
"Jujuy ","    l10n_ar_states.Y",
"Santa Cruz ","    l10n_ar_states.Z",
